time,proto,sip,sport,dip,dport,from,to,subject
2017-11-25 03:00:00,,10.1.4.17,5328,10.5.71.60,25,notice@hightech.com,allstaff@hightech.com,¡¾ÏµÍ³Î¬»¤Í¨Öª¡¿
2017-11-25 03:00:00,,10.1.4.17,2395,10.5.71.60,25,notice@hightech.com,allstaff@hightech.com,¡¾ÏµÍ³Î¬»¤Í¨Öª¡¿
2017-11-25 03:00:00,,10.1.4.17,3223,10.5.71.60,25,notice@hightech.com,allstaff@hightech.com,¡¾ÏµÍ³Î¬»¤Í¨Öª¡¿
2017-11-25 03:00:00,,10.1.4.17,4600,10.5.71.60,25,notice@hightech.com,allstaff@hightech.com,¡¾ÏµÍ³Î¬»¤Í¨Öª¡¿
2017-11-25 03:00:00,,10.1.4.17,2692,10.5.71.60,25,notice@hightech.com,allstaff@hightech.com,¡¾ÏµÍ³Î¬»¤Í¨Öª¡¿
2017-11-25 03:00:00,,10.1.4.17,5423,10.5.71.60,25,notice@hightech.com,allstaff@hightech.com,¡¾ÏµÍ³Î¬»¤Í¨Öª¡¿
2017-11-25 03:00:00,,10.1.4.17,2844,10.5.71.60,25,notice@hightech.com,allstaff@hightech.com,¡¾ÏµÍ³Î¬»¤Í¨Öª¡¿
2017-11-25 03:00:00,smtp,10.1.4.17,49195,10.5.71.60,25,kaoqin@hightech.com,1297@hightech.com,³Ùµ½
2017-11-25 03:00:00,smtp,10.1.4.17,49183,10.5.71.60,25,kaoqin@hightech.com,1440@hightech.com,³Ùµ½
2017-11-25 03:00:00,smtp,10.1.4.17,49228,10.5.71.60,25,kaoqin@hightech.com,1170@hightech.com,³Ùµ½
2017-11-25 03:00:00,smtp,10.1.4.17,49221,10.5.71.60,25,kaoqin@hightech.com,1060@hightech.com,³Ùµ½
2017-11-25 03:00:00,smtp,10.1.4.17,49215,10.5.71.60,25,kaoqin@hightech.com,1007@hightech.com,¿õ¹¤
2017-11-25 03:00:00,smtp,10.1.4.17,49194,10.5.71.60,25,kaoqin@hightech.com,1013@hightech.com,³Ùµ½
2017-11-25 04:00:00,smtp,10.1.4.17,49204,10.5.71.60,25,kaoqin@hightech.com,1067@hightech.com,¿õ¹¤
2017-11-25 04:00:00,smtp,10.1.4.17,49227,10.5.71.60,25,kaoqin@hightech.com,1444@hightech.com,¿õ¹¤
2017-11-25 04:00:00,smtp,10.1.4.17,49191,10.5.71.60,25,kaoqin@hightech.com,1330@hightech.com,³Ùµ½
2017-11-25 04:00:00,smtp,10.1.4.17,49175,10.5.71.60,25,kaoqin@hightech.com,1231@hightech.com,³Ùµ½
2017-11-25 04:00:00,smtp,10.1.4.17,49208,10.5.71.60,25,kaoqin@hightech.com,1224@hightech.com,¿õ¹¤
2017-11-25 04:00:00,smtp,10.1.4.17,49204,10.5.71.60,25,kaoqin@hightech.com,1199@hightech.com,³Ùµ½
2017-11-25 04:00:00,smtp,10.1.4.17,49171,10.5.71.60,25,kaoqin@hightech.com,1434@hightech.com,³Ùµ½
2017-11-25 04:00:00,smtp,10.1.4.17,49226,10.5.71.60,25,kaoqin@hightech.com,1149@hightech.com,³Ùµ½
2017-11-25 04:00:00,smtp,10.1.4.17,49204,10.5.71.60,25,kaoqin@hightech.com,1080@hightech.com,³Ùµ½
2017-11-25 04:00:00,smtp,10.1.4.17,49207,10.5.71.60,25,kaoqin@hightech.com,1041@hightech.com,¿õ¹¤
2017-11-25 09:20:02,smtp,10.116.216.71,2500,10.5.71.60,25,work@hightech.com,1087@hightech.com,[RECOVER:257]HOST_5XX70e901255a3b28594c4b5adc0378eaab
2017-11-25 09:20:55,smtp,10.116.216.71,1555,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:896]HOST_5XX2f32909f5a56795f6f683f434e858400
2017-11-25 09:22:23,smtp,10.64.105.215,1560,10.5.71.60,25,1346@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com,³É±¾¿ØÖÆ
2017-11-25 09:23:04,smtp,10.116.216.71,2445,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:934]HOST_5XX9f07caa76e0dbcc71704bdea33dd6426
2017-11-25 09:23:55,smtp,10.116.216.71,2189,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:488]HOST_5XXa3bce24dce0d2a2acb70dc6280d24fc5
2017-11-25 09:25:16,smtp,10.116.216.71,2553,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:399]HOST_5XX8d49a060fd212f239d796fa7bc0f23c7
2017-11-25 09:26:23,smtp,10.116.216.71,2149,10.5.71.60,25,work@hightech.com,1087@hightech.com,[ALARM:1286]HOST_5XX19aa03d50872e1d1691298bc10de456a
2017-11-25 09:27:33,smtp,222.185.184.72,60277,10.5.71.60,25,6eb1d7582b95f2d099f2c7d05f2d0a33@qq.com,1057@hightech.com,ÍõÈóéÔwangrunqiao¡Ú°ÄéTĞÂÆÏ¾©116498üccom£­Ô]ƒÔ¼´ËÍ38£­â@â@£º778684162ÈºÌ–£º512137592ÁùºĞ49‚ä¡Û000000000
2017-11-25 09:32:00,smtp,125.112.225.185,50819,10.5.71.60,25,66dabf63f1108d7ef5c82cd6bb9216b8@qq.com,1087@hightech.com,³ÂÑŞchenyan¡ÚÆÚ´ıÄúµÄ¼ÓÈë¡Á°ÄéTĞÂÆÏ¾©116498üccom£­Ô]ƒÔ¼´ËÍ38£­â@â@£º778741365ÈºÌ–£º512137592¡Ûa0000000000000
2017-11-25 09:32:12,smtp,10.116.216.72,2387,10.5.71.60,25,ti@hightech.net,1060@hightech.com,»¥ÁªÍø×Ê²ú¼à¿Ø±¨¾¯
2017-11-25 09:33:11,smtp,10.64.105.29,1826,10.5.71.60,25,1451@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,³É±¾¿ØÖÆ
2017-11-25 09:33:18,smtp,10.116.216.71,1873,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:517]HOST_5XXccaad1ca2a8254ed49dd606e671d0bef
2017-11-25 09:33:55,smtp,10.116.216.71,1567,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:1416]HOST_5XX19aa03d50872e1d1691298bc10de456a
2017-11-25 09:33:55,smtp,10.116.216.71,2192,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:1142]HOST_5XX86f5ba7c4d75d6516bd1867f1a88f98e
2017-11-25 09:35:01,smtp,10.116.216.72,2214,10.5.71.60,25,ti@hightech.net,1060@hightech.com,»¥ÁªÍø×Ê²ú¼à¿Ø±¨¾¯
2017-11-25 09:35:18,smtp,10.64.105.231,2271,10.5.71.60,25,1213@hightech.com,1425@hightech.com,²ÆÎñ±¨ÕË
2017-11-25 09:36:56,smtp,10.116.216.71,2568,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:134]HOST_5XXac8873a555701b6920e67f380042ec36
2017-11-25 09:37:43,smtp,10.64.106.8,2434,10.5.71.60,25,1312@hightech.com,dc16e37075a9a7b24797c547de452765@sohu.com,Â¼ÓÃÍ¨Öª£¨½ÓÊÜÇë»Ø¸´ÓÊ¼şÈ·ÈÏ£¬Ğ»Ğ»£¡£©
2017-11-25 09:38:19,smtp,10.64.106.23,1558,10.5.71.60,25,1248@hightech.com,1041@hightech.com,¹¤×÷»ã±¨
2017-11-25 09:38:33,smtp,10.116.216.71,2496,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:488]HOST_5XX74418bed35a4841ce2a1fc37a09a0d7f
2017-11-25 09:39:09,smtp,10.116.216.72,2029,10.5.71.60,25,ti@hightech.net,1060@hightech.com,»¥ÁªÍø×Ê²ú¼à¿Ø±¨¾¯
2017-11-25 09:39:49,smtp,10.64.106.30,2625,10.5.71.60,25,1137@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,»á¼ÆºËËã
2017-11-25 09:41:26,smtp,10.116.216.72,2504,10.5.71.60,25,ti@hightech.net,1060@hightech.com,»¥ÁªÍø×Ê²ú¼à¿Ø±¨¾¯
2017-11-25 09:41:38,smtp,10.116.216.73,1933,10.5.71.60,25,smail@hightech.com,1060@hightech.com;1098@hightech.com;1100@hightech.com;1154@hightech.com;1191@hightech.com;1207@hightech.com;1209@hightech.com,°²È«ÓÊ¼ş±ÀÀ£
2017-11-25 09:41:59,smtp,10.116.216.72,2163,10.5.71.60,25,ti@hightech.net,1060@hightech.com,»¥ÁªÍø×Ê²ú¼à¿Ø±¨¾¯
2017-11-25 09:42:45,smtp,10.116.216.71,2519,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:4]HOST_5XX19aa03d50872e1d1691298bc10de456a
2017-11-25 09:43:03,smtp,10.116.216.71,1746,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:75]HOST_5XX2722d99e2c9a200585efe8c102706418
2017-11-25 09:43:21,smtp,10.116.216.71,2157,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:801]HOST_5XXdd8c74e0ad2c6090b041ee0e30ffaf32
2017-11-25 09:44:23,smtp,10.116.216.71,1897,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:241]HOST_5XX19aa03d50872e1d1691298bc10de456a
2017-11-25 09:45:06,smtp,10.116.216.71,2208,10.5.71.60,25,work@hightech.com,1087@hightech.com,[ALARM:1056]HOST_5XX124c7fec24829c8ebd7c4ea7528f81f0
2017-11-25 09:47:34,smtp,10.116.216.72,2187,10.5.71.60,25,ti@hightech.net,1060@hightech.com,»¥ÁªÍø×Ê²ú¼à¿Ø±¨¾¯
2017-11-25 09:48:20,smtp,163.177.72.176,2420,10.5.71.60,25,82133a6360cee00df576058035daca92@qq.com,1378@hightech.com,¼òÀú
2017-11-25 09:48:53,smtp,10.116.216.71,2513,10.5.71.60,25,work@hightech.com,1087@hightech.com,[ALARM:1420]HOST_5XX1149cfff5b8902d48927ab23312d57ce
2017-11-25 09:50:29,smtp,10.116.216.71,2423,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:127]HOST_5XXa3bce24dce0d2a2acb70dc6280d24fc5
2017-11-25 09:50:35,smtp,10.116.216.71,2626,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:1275]HOST_5XX240a5c76f455e0dbf32574e17e843ff1
2017-11-25 09:50:37,smtp,10.64.105.43,2399,10.5.71.60,25,1124@hightech.com,1041@hightech.com,¹¤×÷»ã±¨
2017-11-25 09:51:03,smtp,10.116.216.71,2556,10.5.71.60,25,work@hightech.com,1087@hightech.com,[RECOVER:968]HOST_5XX651264cdc633b63b44c672790e640c5b
2017-11-25 09:52:07,smtp,10.116.216.71,1825,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:560]HOST_5XX0149534eb89497e269fe6b8910f9fffc
2017-11-25 09:53:23,smtp,10.116.216.72,1562,10.5.71.60,25,ti@hightech.net,1060@hightech.com,»¥ÁªÍø×Ê²ú¼à¿Ø±¨¾¯
