time,proto,sip,sport,dip,dport,from,to,subject
2017-11-05 09:21:10,smtp,10.116.216.73,2465,10.5.71.60,25,smail@hightech.com,1060@hightech.com;1098@hightech.com;1100@hightech.com;1154@hightech.com;1191@hightech.com;1207@hightech.com;1209@hightech.com,安全邮件崩溃
2017-11-05 09:23:25,smtp,10.116.216.71,1930,10.5.71.60,25,work@hightech.com,1087@hightech.com,[ALARM:1059]HOST_5XXc0b7bc742998e8fc27b49d04b0bf8e0a
2017-11-05 09:23:33,smtp,10.116.216.71,1532,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:526]HOST_5XX9c5681822a54ae6081661de26d21cad5
2017-11-05 09:29:05,smtp,10.116.216.72,2048,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
2017-11-05 09:29:56,smtp,10.116.216.71,2256,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:173]HOST_5XX926df350e01e298e0dc9e3cac5a7848c
2017-11-05 09:31:12,smtp,10.116.216.73,1597,10.5.71.60,25,smail@hightech.com,1060@hightech.com;1098@hightech.com;1100@hightech.com;1154@hightech.com;1191@hightech.com;1207@hightech.com;1209@hightech.com,安全邮件崩溃
2017-11-05 09:36:31,smtp,10.116.216.72,1534,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
2017-11-05 09:39:39,smtp,10.116.216.71,2480,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:148]HOST_5XXa394e93a8631015b7e9811b98ab7bef9
2017-11-05 09:40:06,smtp,219.142.78.230,1932,10.5.71.60,25,c9afb695746d3df1d31bdd7afb81b573@sina.com,1118@hightech.com,简历
2017-11-05 09:43:15,smtp,125.112.226.59,56993,10.5.71.60,25,2a2992141841234a3cf9c05f58509b14@qq.com,1207@hightech.com,日日思君不见君sad＜澳門新葡京116498點com｜群號：512137592｜釦釦：778741365｜時時9.88備＞空恨岁晚归期阻
2017-11-05 09:46:04,smtp,10.116.216.71,1632,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:1231]HOST_5XX7bad7c03099c88689e9676a45d81b678
2017-11-05 09:46:36,smtp,10.64.106.43,1529,10.5.71.60,25,1363@hightech.com,1013@hightech.com;1104@hightech.com;1499@hightech.com;1371@hightech.com;1184@hightech.com;1251@hightech.com;1295@hightech.com;1312@hightech.com;1433@hightech.com;1165@hightech.com;1300@hightech.com;1378@hightech.com;1473@hightech.com;1118@hightech.com;1249@hightech.com;1110@hightech.com;1149@hightech.com,岗位说明书
2017-11-05 09:46:55,smtp,111.202.126.72,2165,10.5.71.60,25,23014fc2ffe40f32535c66a82c009f46@sohu.com,1118@hightech.com,个人简历
2017-11-05 09:49:28,smtp,10.116.216.71,2267,10.5.71.60,25,work@hightech.com,1087@hightech.com,[ALARM:604]HOST_5XX9e627c5e03906b3eeaaff458bcb0021a
2017-11-05 09:51:07,smtp,223.244.154.28,51431,10.5.71.60,25,8a280484f8e905759c6340f14eecb32c@cski.com,1060@hightech.com,开3%17%增直票15=817=201=765弓長贝才务
2017-11-05 09:58:03,smtp,10.116.216.73,2488,10.5.71.60,25,smail@hightech.com,1060@hightech.com;1098@hightech.com;1100@hightech.com;1154@hightech.com;1191@hightech.com;1207@hightech.com;1209@hightech.com,安全邮件崩溃
2017-11-05 09:58:35,smtp,10.116.216.71,2062,10.5.71.60,25,work@hightech.com,1087@hightech.com,[RECOVER:69]HOST_5XX94516f83c6abcbd6e0e5eaf46ab3f866
2017-11-05 09:59:36,smtp,60.179.248.88,51527,10.5.71.60,25,683fca3fdc5ec658fb6322082e8c2eec@qq.com,1115@hightech.com,苏鹃辰＜澳門新葡京116498點com｜群號：252647499｜釦釦：778741365｜群號：252647499｜六盒49備＞熊翠
2017-11-05 10:12:55,smtp,219.142.78.230,2243,10.5.71.60,25,cbb51cae577bd5d506a6819885794b4a@sina.com,1499@hightech.com,个人资料
2017-11-05 10:17:35,smtp,10.116.216.71,1558,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:875]HOST_5XX1149cfff5b8902d48927ab23312d57ce
2017-11-05 10:19:07,smtp,10.116.216.71,1611,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:650]HOST_5XX557418d06f67c6b51625320ccb7c3c47
2017-11-05 10:20:21,smtp,10.116.216.72,1987,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
2017-11-05 10:20:28,smtp,10.116.216.71,2481,10.5.71.60,25,work@hightech.com,1087@hightech.com,[RECOVER:523]HOST_5XX4167addbdff9b382d524d161733442e3
2017-11-05 10:24:40,smtp,10.116.216.71,2522,10.5.71.60,25,work@hightech.com,1087@hightech.com,[ALARM:8]HOST_5XX49c7978c4980fa043b04c773f72f4948
2017-11-05 10:28:08,smtp,125.112.225.185,64634,10.5.71.60,25,6af450b132687e2e67eb4180434a379a@qq.com,1100@hightech.com,贺婧hejing新葡京●【紅寶已經派發-添加釦釦：778684162群號：512137592--鐵板精準六盒資料-六盒49倍】●000000000000000
2017-11-05 10:28:15,smtp,60.182.126.242,52096,10.5.71.60,25,5fd0a13a8400b5100be838a5d517dece@qq.com,1115@hightech.com,宽带到期提醒新葡京●【紅寶已經派發-添加釦釦：778684162群號：512137592--鐵板精準六盒資料-六盒49倍】●<p>画匠不给神作揖知道你是哪块地里有呢</p><div>哦，微笑，今在何方？</div><div>失之毫厘差以千里潘千</div>
2017-11-05 10:29:18,smtp,10.116.216.71,2264,10.5.71.60,25,work@hightech.com,1087@hightech.com,[ALARM:251]HOST_5XXf39ab51190adf255fdc68311bb563e37
2017-11-05 10:29:42,smtp,10.116.216.71,1605,10.5.71.60,25,work@hightech.com,1087@hightech.com,[ALARM:150]HOST_5XXde47ccd350d390b36ed41323b7ef8ed7
2017-11-05 10:30:22,smtp,218.73.143.90,62905,10.5.71.60,25,482409f40ca84e99f896622f2a6a746e@qq.com,1115@hightech.com,李哥邀您住冊嶺5⒏赢58O提-擙閅永利332418。COM伽碦服扣:319131608嶺，只要投紸红宝天天抢，艏拵餸2O3O5O‰下鉒㈥和就有銭拿特馬49背
2017-11-05 10:31:48,smtp,10.64.106.9,2261,10.5.71.60,25,1184@hightech.com,fa18919602e8132567728bf1ac7be765@sohu.com,面试通知
2017-11-05 10:32:24,smtp,180.116.214.140,50609,10.5.71.60,25,5e221610d3455418a0e608e718bded67@qq.com,1058@hightech.com,闪烁[新葡京--38元紅苞已經為您添加--紅包大師釦釦：2730418114六盒49備≯-成為會員領工資]轴承加工
2017-11-05 10:35:55,smtp,10.116.216.72,1989,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
2017-11-05 10:39:48,smtp,10.116.216.71,1957,10.5.71.60,25,work@hightech.com,1087@hightech.com,[RECOVER:569]HOST_5XX9841d225c8079c8ea44bc8c6a951047b
2017-11-05 10:40:25,smtp,10.64.106.6,2048,10.5.71.60,25,1473@hightech.com,1013@hightech.com;1104@hightech.com;1499@hightech.com;1371@hightech.com;1184@hightech.com;1251@hightech.com;1295@hightech.com;1312@hightech.com;1433@hightech.com;1165@hightech.com;1300@hightech.com;1378@hightech.com;1118@hightech.com;1363@hightech.com;1249@hightech.com;1110@hightech.com;1149@hightech.com,劳动合同
2017-11-05 10:40:32,smtp,10.116.216.71,2259,10.5.71.60,25,work@hightech.com,1087@hightech.com,[ALARM:675]HOST_5XX660bb77285cf0a4b14e65677c9f72322
2017-11-05 10:40:59,smtp,60.182.73.177,62469,10.5.71.60,25,19156f97251d902539c584e6c9278722@qq.com,1192@hightech.com,严茜≮澳門新葡京116498點com－註冊即送38－釦釦：778684162群號：512137592六盒49備≯法不传六耳
2017-11-05 10:43:08,smtp,10.116.216.71,2510,10.5.71.60,25,work@hightech.com,1087@hightech.com,[RECOVER:252]HOST_5XXac8873a555701b6920e67f380042ec36
2017-11-05 10:44:50,smtp,10.116.216.72,2131,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
2017-11-05 10:45:44,smtp,10.116.216.71,2049,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:324]HOST_5XXe4e3b3557b6e0d38ae32a5408bdd3d67
2017-11-05 10:46:14,smtp,10.116.216.73,2457,10.5.71.60,25,smail@hightech.com,1060@hightech.com;1098@hightech.com;1100@hightech.com;1154@hightech.com;1191@hightech.com;1207@hightech.com;1209@hightech.com,安全邮件崩溃
2017-11-05 10:46:45,smtp,10.116.216.71,1949,10.5.71.60,25,work@hightech.com,1087@hightech.com,[ALARM:517]HOST_5XXc3ed4ff2d6ab611fec2db3fe4177f41b
